"Kod";"Nazwa";"ogółem;2003;[tys. t]";"ogółem;2004;[tys. t]";"ogółem;2005;[tys. t]";"ogółem;2006;[tys. t]";"ogółem;2007;[tys. t]";"ogółem;2008;[tys. t]";"ogółem;2009;[tys. t]";"ogółem;2010;[tys. t]";"ogółem;2011;[tys. t]";"ogółem;2012;[tys. t]";"ogółem;2013;[tys. t]";"ogółem;2014;[tys. t]";"ogółem;2015;[tys. t]";"ogółem;2016;[tys. t]";"ogółem;2017;[tys. t]";"ogółem;2018;[tys. t]";"ogółem;2019;[tys. t]";"ogółem;2020;[tys. t]";"ogółem;2021;[tys. t]";"ogółem;2022;[tys. t]";"ogółem;2023;[tys. t]";
0200000;"DOLNOŚLĄSKIE";32821,9;34706,5;34882,1;35180,7;34299,7;33738,8;33307,2;33550,4;35059,2;34519,0;34552,3;34670,5;35462,7;35579,0;35245,4;33967,2;34088,6;33315,1;35015,0;35894,7;35118,1;
0400000;"KUJAWSKO-POMORSKIE";2295,1;2550,3;3150,6;2088,6;2584,4;2237,7;2063,4;2267,7;2479,8;2268,0;4605,6;3570,8;3372,4;3182,8;1829,7;1816,2;1635,7;1541,7;1530,4;1631,2;1641,2;
0600000;"LUBELSKIE";4132,4;4072,2;5155,4;4884,3;5122,5;4449,4;5264,5;4860,4;5196,8;6272,4;6828,4;6652,5;6837,8;8110,9;6385,9;7397,9;6976,9;5757,4;5439,3;5548,0;6050,2;
0800000;"LUBUSKIE";549,1;623,1;515,9;708,6;727,0;706,4;730,0;914,3;1135,4;924,9;1050,6;917,6;631,6;556,4;647,5;603,2;654,2;689,9;610,9;752,3;679,6;
1000000;"ŁÓDZKIE";4881,6;4884,3;4449,5;4120,7;3895,2;3857,4;5983,9;6173,4;7916,3;8107,9;9107,5;9937,1;10945,6;10968,4;7006,2;9980,1;8290,5;7191,7;7681,6;9580,9;6118,8;
1200000;"MAŁOPOLSKIE";10604,5;10079,9;9484,4;8676,7;9026,9;8556,3;6682,0;6089,2;6654,3;6780,9;6431,4;6079,2;6069,2;4810,9;5653,6;6306,7;6511,0;5296,7;4299,9;4842,4;4604,8;
1400000;"MAZOWIECKIE";5917,7;5842,3;5855,9;5773,3;6788,4;6922,4;5859,5;5554,1;7560,6;5971,7;6731,2;7096,2;5784,8;5369,1;5595,5;6017,7;5899,5;6048,0;6288,9;7679,9;7096,2;
1600000;"OPOLSKIE";1824,9;1816,6;1643,0;1846,8;1536,5;848,7;907,9;853,7;971,4;950,8;1514,5;1770,6;1697,1;1650,4;1647,8;1792,6;1947,9;1394,2;1181,8;1554,2;1619,9;
1800000;"PODKARPACKIE";1119,9;1169,3;1236,3;1336,9;1276,1;1084,2;969,9;1049,5;2093,7;1439,1;1649,5;1099,1;2329,5;1393,5;805,3;814,7;825,3;1088,3;722,3;819,7;842,4;
2000000;"PODLASKIE";927,5;887,4;927,9;957,4;1057,2;838,3;737,9;713,5;707,6;1467,5;1827,5;1266,7;871,1;662,0;1076,0;884,6;493,5;2363,1;891,0;655,4;672,7;
2200000;"POMORSKIE";2106,3;2097,1;2197,9;2539,9;2466,9;2487,5;2647,9;1822,7;2400,7;2909,1;2127,7;2214,0;1579,5;2092,4;1691,0;2108,7;1024,3;1842,6;1825,1;2201,2;1788,7;
2400000;"ŚLĄSKIE";42439,9;43459,2;42273,0;41678,1;41408,2;35301,0;32257,5;35507,9;35181,1;37067,7;38497,9;39245,5;36528,1;33780,1;31648,2;28678,6;30502,2;27616,6;27768,6;29001,8;29960,7;
2600000;"ŚWIĘTOKRZYSKIE";1403,8;1761,0;1598,6;1579,6;1637,7;2135,2;2483,9;1963,8;1876,8;2296,9;4438,1;4867,0;7127,2;7035,7;4340,0;5026,0;5040,5;4593,2;5092,3;4682,2;5146,4;
2800000;"WARMIŃSKO-MAZURSKIE";518,1;594,4;609,3;753,2;894,8;838,3;755,1;1010,8;901,0;815,3;1108,7;1279,9;1049,2;2271,5;961,5;691,9;1001,3;2500,4;1130,6;1703,7;1238,1;
3000000;"WIELKOPOLSKIE";3731,8;4304,1;5196,3;4363,9;4851,6;4985,4;5675,5;5170,8;5832,0;6017,5;5590,5;5745,9;5758,0;5807,2;4150,3;3695,4;3548,4;3299,1;3222,8;2850,6;2332,5;
3200000;"ZACHODNIOPOMORSKIE";5276,9;5181,8;5426,0;6974,7;6841,0;5951,2;4734,1;5976,6;7557,4;5314,8;4531,9;4843,5;4941,4;5036,6;5108,9;5557,2;5693,7;4928,0;5011,3;5641,0;4398,9;
